Line Name,Rest Value,Error,Reference
HeI 12-9,4.218424,6.10E+00,1
HeI 18-1,4.400258,3.80E+00,1
HeI 14-1,4.651879,5.20E+00,1
HeI 17-1,4.742613,4.20E+00,1
HeI 8-7,4.763508,1.50E+00,1
HeI 16-1,5.227997,4.70E+00,1
HeI 19-1,5.458256,4.00E+00,1
HeI 13-1,5.580604,6.60E+00,1
HeI 11-9,5.582821,8.80E+00,1
HeI 18-1,5.905803,4.40E+00,1
HeI 15-1,5.964559,5.60E+00,1
HeI 17-1,6.539376,5.00E+00,1
HeI 9-8,6.947984,1.70E+00,1
HeI 19-1,7.204835,7.20E+00,1
HeI 19-1,7.23997,4.60E+00,1
HeI 12-1,7.456816,9.80E+00,1
HeI 16-1,7.499433,6.00E+00,1
HeI 18-1,8.049041,5.30E+00,1
HeI 15-1,9.113895,7.70E+00,1
HeI 17-1,9.273581,6.40E+00,1
HeI 13-1,9.706769,1.10E+00,1
HeI 10-9,9.713475,1.90E+00,1
HeI 19-1,9.770653,5.60E+00,1
HeI 18-1,11.304084,6.80E+00,1
HeI 16-1,11.330566,8.30E+00,1
HeI 14-1,12.366855,1.20E+00,1
HeI 11-1,13.128335,2.20E+00,1
HeI 19-1,13.608028,7.20E+00,1
HeI 17-1,13.877629,8.90E+00,1
HeI 15-1,15.47125,1.30E+00,1
HeI 18-1,16.777867,9.40E+00,1
HeI 12-1,17.260917,2.40E+00,1
HeI 16-1,19.05413,1.40E+00,1
HeI 19-1,20.054063,1.00E+00,1
HeI 13-1,22.179576,2.70E+00,1
HeI 17-1,23.149671,1.50E+00,1
HeI 18-1,27.792051,1.60E+00,1
HeI 14-1,27.952665,3.00E+00,1
